Instrument,Date,Ind_class,List_date
000001.SZ,2016-01-29,银行,1991-04-03
000001.SZ,2016-02-29,银行,1991-04-03
000001.SZ,2016-03-31,银行,1991-04-03
000001.SZ,2016-04-29,银行,1991-04-03
000001.SZ,2016-05-31,银行,1991-04-03
000001.SZ,2016-06-30,银行,1991-04-03
000001.SZ,2016-07-29,银行,1991-04-03
000001.SZ,2016-08-31,银行,1991-04-03
000001.SZ,2016-09-30,银行,1991-04-03
000001.SZ,2016-10-31,银行,1991-04-03
000001.SZ,2016-11-30,银行,1991-04-03
000001.SZ,2016-12-30,银行,1991-04-03
000001.SZ,2017-01-26,银行,1991-04-03
000001.SZ,2017-02-28,银行,1991-04-03
000001.SZ,2017-03-31,银行,1991-04-03
000001.SZ,2017-04-28,银行,1991-04-03
000001.SZ,2017-05-31,银行,1991-04-03
000001.SZ,2017-06-30,银行,1991-04-03
000001.SZ,2017-07-31,银行,1991-04-03
000001.SZ,2017-08-31,银行,1991-04-03
000001.SZ,2017-09-29,银行,1991-04-03
000001.SZ,2017-10-31,银行,1991-04-03
000001.SZ,2017-11-30,银行,1991-04-03
000001.SZ,2017-12-29,银行,1991-04-03
000001.SZ,2018-01-31,银行,1991-04-03
000001.SZ,2018-02-28,银行,1991-04-03
000001.SZ,2018-03-30,银行,1991-04-03
000001.SZ,2018-04-27,银行,1991-04-03
000001.SZ,2018-05-31,银行,1991-04-03
000001.SZ,2018-06-29,银行,1991-04-03
000001.SZ,2018-07-31,银行,1991-04-03
000001.SZ,2018-08-31,银行,1991-04-03
000001.SZ,2018-09-28,银行,1991-04-03
000001.SZ,2018-10-31,银行,1991-04-03
000001.SZ,2018-11-30,银行,1991-04-03
000001.SZ,2018-12-28,银行,1991-04-03
000001.SZ,2019-01-31,银行,1991-04-03
000001.SZ,2019-02-28,银行,1991-04-03
000001.SZ,2019-03-29,银行,1991-04-03
000001.SZ,2019-04-30,银行,1991-04-03
000001.SZ,2019-05-31,银行,1991-04-03
000001.SZ,2019-06-28,银行,1991-04-03
000001.SZ,2019-07-31,银行,1991-04-03
000001.SZ,2019-08-30,银行,1991-04-03
000001.SZ,2019-09-30,银行,1991-04-03
000001.SZ,2019-10-31,银行,1991-04-03
000001.SZ,2019-11-29,银行,1991-04-03
000001.SZ,2019-12-31,银行,1991-04-03
000001.SZ,2020-01-02,银行,1991-04-03
000001.SZ,2020-01-23,银行,1991-04-03
000001.SZ,2020-02-28,银行,1991-04-03
000001.SZ,2020-03-31,银行,1991-04-03
000001.SZ,2020-04-01,银行,1991-04-03
000001.SZ,2020-04-30,银行,1991-04-03
000001.SZ,2020-05-06,银行,1991-04-03
000001.SZ,2020-05-29,银行,1991-04-03
000001.SZ,2020-06-01,银行,1991-04-03
000001.SZ,2020-06-03,银行,1991-04-03
000001.SZ,2020-06-04,银行,1991-04-03
000001.SZ,2020-06-05,银行,1991-04-03
000001.SZ,2020-06-08,银行,1991-04-03
000001.SZ,2020-06-30,银行,1991-04-03
000001.SZ,2020-07-01,银行,1991-04-03
000001.SZ,2020-07-31,银行,1991-04-03
000001.SZ,2020-08-03,银行,1991-04-03
000001.SZ,2020-08-31,银行,1991-04-03
000001.SZ,2020-09-01,银行,1991-04-03
000001.SZ,2020-09-30,银行,1991-04-03
000001.SZ,2020-10-09,银行,1991-04-03
000001.SZ,2020-10-30,银行,1991-04-03
000001.SZ,2020-11-02,银行,1991-04-03
000001.SZ,2020-11-30,银行,1991-04-03
000001.SZ,2020-12-01,银行,1991-04-03
000001.SZ,2020-12-31,银行,1991-04-03
000001.SZ,2021-01-04,银行,1991-04-03
000001.SZ,2021-01-29,银行,1991-04-03
000001.SZ,2021-02-01,银行,1991-04-03
000001.SZ,2021-02-26,银行,1991-04-03
000001.SZ,2021-03-01,银行,1991-04-03
000001.SZ,2021-03-31,银行,1991-04-03
000001.SZ,2021-04-01,银行,1991-04-03
000001.SZ,2021-04-30,银行,1991-04-03
000001.SZ,2021-05-06,银行,1991-04-03
000001.SZ,2021-05-31,银行,1991-04-03
000001.SZ,2021-06-01,银行,1991-04-03
000001.SZ,2021-06-30,银行,1991-04-03
000001.SZ,2021-07-01,银行,1991-04-03
000001.SZ,2021-07-30,银行,1991-04-03
000001.SZ,2021-08-02,银行,1991-04-03
000001.SZ,2021-08-31,银行,1991-04-03
000001.SZ,2021-09-01,银行,1991-04-03
000001.SZ,2021-09-30,银行,1991-04-03
000001.SZ,2021-10-08,银行,1991-04-03
000001.SZ,2021-10-29,银行,1991-04-03
000001.SZ,2021-11-01,银行,1991-04-03
000001.SZ,2021-11-30,银行,1991-04-03
000001.SZ,2021-12-01,银行,1991-04-03
000001.SZ,2021-12-31,银行,1991-04-03
000001.SZ,2022-01-04,银行,1991-04-03
000001.SZ,2022-01-28,银行,1991-04-03
000001.SZ,2022-02-07,银行,1991-04-03
000001.SZ,2022-02-28,银行,1991-04-03
000001.SZ,2022-03-01,银行,1991-04-03
000001.SZ,2022-03-31,银行,1991-04-03
000001.SZ,2022-04-01,银行,1991-04-03
000001.SZ,2022-04-29,银行,1991-04-03
000001.SZ,2022-05-05,银行,1991-04-03
000001.SZ,2022-05-31,银行,1991-04-03
000001.SZ,2022-06-01,银行,1991-04-03
000001.SZ,2022-06-30,银行,1991-04-03
000001.SZ,2022-07-01,银行,1991-04-03
000001.SZ,2022-07-29,银行,1991-04-03
000001.SZ,2022-08-01,银行,1991-04-03
000001.SZ,2022-08-31,银行,1991-04-03
000001.SZ,2022-09-01,银行,1991-04-03
000001.SZ,2022-09-30,银行,1991-04-03
000001.SZ,2022-10-10,银行,1991-04-03
000001.SZ,2022-10-31,银行,1991-04-03
000001.SZ,2022-11-01,银行,1991-04-03
000001.SZ,2022-11-30,银行,1991-04-03
000001.SZ,2022-12-01,银行,1991-04-03
000001.SZ,2022-12-30,银行,1991-04-03
000001.SZ,2023-01-03,银行,1991-04-03
000001.SZ,2023-01-31,银行,1991-04-03
000001.SZ,2023-02-01,银行,1991-04-03
000001.SZ,2023-02-28,银行,1991-04-03
000001.SZ,2023-03-01,银行,1991-04-03
000001.SZ,2023-03-31,银行,1991-04-03
000001.SZ,2023-04-03,银行,1991-04-03
000001.SZ,2023-04-28,银行,1991-04-03
000001.SZ,2023-05-31,银行,1991-04-03
000001.SZ,2023-06-01,银行,1991-04-03
